name,type,status,residual_ft,gps_latitude,gps_longitude
Center Camp,CPN,entered,0.0,40.77737226,-119.21561156
Gate Actual,CPN,entered,0.0,40.76872527,-119.23408815
The Man,CPN,entered,0.0,40.78324745,-119.2078841
10 & B Plaza,CPN,autofilled,,40.79167624,-119.21133014
10:00 & B Plaza,Plaza,autofilled,,40.79164028,-119.21135168
1200 Promenade,CPN,autofilled,,40.78567324,-119.20469167
2 & B Plaza,CPN,autofilled,,40.78062787,-119.19679557
2:00 & B Plaza,Plaza,autofilled,,40.78060618,-119.19677812
3 & B Plaza,CPN,autofilled,,40.77700777,-119.19967545
3 & G Plaza,CPN,autofilled,,40.7738826,-119.19556498
300 Portal,CPN,autofilled,,40.77839551,-119.20150089
300 Promenade,CPN,autofilled,,40.78084074,-119.20471765
3:00 & B Plaza,Plaza,autofilled,,40.7770129,-119.19967755
3:00 & G Plaza,Plaza,autofilled,,40.77388754,-119.19556729
430 & B Plaza,CPN,autofilled,,40.77442251,-119.20788345
430 & G Plaza,CPN,autofilled,,40.77000352,-119.20788313
430 Portal,CPN,autofilled,,40.7763858,-119.20788359
4:30 & B Plaza,Plaza,autofilled,,40.77442849,-119.2078841
4:30 & G Plaza,Plaza,autofilled,,40.77000972,-119.20788409
6 & G Plaza,CPN,autofilled,,40.77388093,-119.22020267
600 Portal,CPN,autofilled,,40.7788931,-119.21361144
600 Promenade,CPN,autofilled,,40.78106995,-119.21074771
6:00 & G Plaza,Plaza,autofilled,,40.77388754,-119.2202009
730 & B Plaza,CPN,autofilled,,40.78324637,-119.21949415
730 & G Plaza,CPN,autofilled,,40.7832454,-119.22530773
730 Portal,CPN,autofilled,,40.78324671,-119.21691125
7:30 & B Plaza,Plaza,autofilled,,40.78325109,-119.21949183
7:30 & G Plaza,Plaza,autofilled,,40.78325035,-119.22530513
9 & B Plaza,CPN,autofilled,,40.78948653,-119.21609428
9 & G Plaza,CPN,autofilled,,40.79261096,-119.22020667
900 Portal,CPN,autofilled,,40.78809886,-119.21426803
900 Promenade,CPN,autofilled,,40.78567296,-119.21107563
9:00 & B Plaza,Plaza,autofilled,,40.78948985,-119.21609218
9:00 & G Plaza,Plaza,autofilled,,40.79261447,-119.22020436
Airport,CPN,autofilled,,40.76054528,-119.21010213
Arctica Center Camp,CPN,autofilled,,40.77827791,-119.21676304
Arctica Outpost,CPN,autofilled,,40.77369563,-119.22397822
Artery,CPN,autofilled,,40.77938093,-119.21486066
BLM LE Substation,CPN,autofilled,,40.77666457,-119.21096083
Box Office,CPN,autofilled,,40.7682269,-119.23567012
Burner Express Bus Depot,CPN,autofilled,,40.77335492,-119.22271947
Census Checkpoint,CPN,autofilled,,40.76756691,-119.22793799
Center Camp Plaza,CPN,autofilled,,40.77737226,-119.21561156
Center Camp Plaza,Plaza,autofilled,,40.77743414,-119.21553967
D Lot,CPN,autofilled,,40.76817831,-119.23382482
Deep-Playa Music Zone (DMZ),CPN,autofilled,,40.79920382,-119.20376687
Deep-Playa Music Zone 2 (DMZ2),CPN,autofilled,,40.77845024,-119.18433985
Department of Mutant Vehicles (DMV),CPN,autofilled,,40.77896144,-119.21246267
ESD Station 3,CPN,autofilled,,40.77619782,-119.19898126
ESD Station 6,CPN,autofilled,,40.77679347,-119.21140018
ESD Station 9,CPN,autofilled,,40.79029559,-119.21678794
Greeters,CPN,autofilled,,40.76991305,-119.22540327
HEaT,CPN,autofilled,,40.77657325,-119.2122856
Hell Station,CPN,autofilled,,40.79810648,-119.21921726
Ice Cubed Arctica 3,CPN,autofilled,,40.77376367,-119.19491011
Ice Nine Arctica,CPN,autofilled,,40.79271695,-119.2208314
Media Mecca,CPN,autofilled,,40.77930393,-119.21631647
Playa Info,CPN,autofilled,,40.77786411,-119.21304521
Point 1,CPN,autofilled,,40.77971035,-119.23741805
Point 2,CPN,autofilled,,40.80352097,-119.22140765
Point 3,CPN,autofilled,,40.79932675,-119.18672255
Point 4,CPN,autofilled,,40.77288404,-119.18123966
Point 5,CPN,autofilled,,40.76078825,-119.21258153
Rampart,CPN,autofilled,,40.77634968,-119.21164195
Ranger HQ,CPN,autofilled,,40.77992492,-119.21637985
Ranger Station Berlin,CPN,autofilled,,40.77648266,-119.19861234
Ranger Station Tokyo,CPN,autofilled,,40.79006204,-119.21722282
Recycle Camp,CPN,autofilled,,40.77695071,-119.21302996
The Temple,CPN,autofilled,,40.78809942,-119.20149964
Walk-In Camp,CPN,autofilled,,40.76605138,-119.20165971
Will Call Lot,CPN,autofilled,,40.76840615,-119.23704641
Yellow Bike Project,CPN,autofilled,,40.77392743,-119.21454513
